id,publish_time,title,article_url,ticker,publisher,description,keywords
bba44b84-d667-4461-a4bf-b94c381ca354,2022-01-03 17:25:04,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.68% By Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-068-2729373,INCO.BR,investing.com,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.68%,
7a0755d1-4fe8-46f1-a040-bee1ab46dc2a,2022-01-03 17:25:15,"États-Unis: Les marchés actions finissent en hausse; l'indice Dow Jones Industrial Average gagne 0,68% Par Investing.com",https://fr.investing.com/news/stock-market-news/etatsunis-les-marches-actions-finissent-en-hausse-lindice-dow-jones-industrial-average-gagne-068-2061666,INCO.BR,fr.investing.com,"États-Unis: Les marchés actions finissent en hausse; l'indice Dow Jones Industrial Average gagne 0,68%",
fb98c9a5-3ae9-4358-b3cf-293f8305884e,2022-01-03 17:25:19,"Рынок акций США закрылся ростом, Dow Jones прибавил 0,68% От Investing.com",https://ru.investing.com/news/stock-market-news/article-2126816,DISCA,ru.investing.com,"Рынок акций  США закрылся ростом, Dow Jones прибавил 0,68%",
f38854e7-4928-4cec-9e44-c6be9f9cfb70,2022-01-04 13:11:05,Top Automakers Double-Down on Mobileye,https://www.marketscreener.com/quote/stock/INTEL-CORPORATION-4829/news/Top-Automakers-Double-Down-on-Mobileye-37464437/,INCO.BR,marketscreener.com,"Volkswagen Group applies mapping tech to ADAS, while Ford and Zeekr announce new Mobileye-based production programs.

NEWS HIGHLIGHTS


Mobileye is joined by VW, Ford and Zeekr at CES 2022 to... | January  4,  2022","INTEL CORPORATION stock exchange, news, information, press release, volkswagen, group, applies, mapping, tech, to, while, ford, and, zeekr, announce, new, production, is, joined, by, at, ces, 2022 | INTC | US4581401001"
1785c6b2-4a8e-456d-bc89-897d3a6d7764,2022-01-04 16:25:30,Valuation And Dividend Safety Analysis: Intel (INTC),https://www.valuewalk.com/valuation-and-dividend-safety-analysis-intel-intc/,AAPL,valuewalk.com,Intel Corporation (NASDAQ:INTC) is a leader in designing and fabricating microchips for different applications. Intel was far and away the leading chip company,
42211228-f29b-4605-9823-5c64030e728b,2022-01-04 17:39:40,Intel Stock: Profit Drivers And Our Barbell Retirement Model (NASDAQ:INTC),https://seekingalpha.com/article/4477918-intels-profit-drivers-and-our-barbell-retirement-model,INTC,seekingalpha.com,"In this article, you will see how and why we use the Intel stock in the short-term end of our barbell retirement portfolio. Read about this opportunity here.",
7174dbd0-585e-434b-8b9e-5f8bb2df0ac3,2022-01-05 17:25:03,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.07% By Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-107-2731645,APC.DE,investing.com,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 1.07%,
738cbe9a-ed89-44d6-a6a7-842c1ae19613,2022-01-05 17:25:12,"États-Unis: Les marchés actions finissent en baisse; l'indice Dow Jones Industrial Average recule de 1,07% Par Investing.com",https://fr.investing.com/news/stock-market-news/etatsunis-les-marches-actions-finissent-en-baisse-lindice-dow-jones-industrial-average-recule-de-107-2062098,INL.DE,fr.investing.com,"États-Unis: Les marchés actions finissent en baisse; l'indice Dow Jones Industrial Average recule de 1,07%",
4b3deacf-6319-409f-9673-b43653806904,2022-01-05 17:25:16,"Рынок акций США закрылся падением, Dow Jones снизился на 1,07% От Investing.com",https://ru.investing.com/news/stock-market-news/article-2127024,APC.DE,ru.investing.com,"Рынок акций  США закрылся падением, Dow Jones снизился на 1,07%",
c14be541-fc14-46af-bd42-34bc9e1b6bc4,2022-01-06 13:10:44,"Insights on the Mobile Security Global Market to 2027 – Featuring Apple, Google and MobileIron Among Others – ResearchAndMarkets.com",https://www.startup365.fr/insights-on-the-mobile-security-global-market-to-2027-featuring-apple-google-and-mobileiron-among-others-researchandmarkets-com/,AAPL.MX,startup365.fr,,
