id,publish_time,title,article_url,ticker,publisher,description,keywords
,2023-01-01 09:00:00,Taiwan Semi vs. Intel Stock: Which Is the Better Buy Now?,https://www.fool.com/investing/2023/01/01/taiwan-semi-vs-intel-stock-which-is-the-better-buy/,INTC,Motley Fool,These two semiconductor investors are back to discuss which chip giant they would choose.,Manufacturing
,2023-01-01 09:10:00,2 High-Yield Dividend Tech Stocks to Buy for 2023,https://www.fool.com/investing/2023/01/01/2-high-yield-dividend-tech-stocks-to-buy-for-2023/,INTC,Motley Fool,These battered tech stocks offer dividend yields more than triple that of the S&P 500.,"Financial Markets,Manufacturing,Mergers & Acquisitions,Earnings,Technology"
,2023-01-02 05:10:00,Semiconductors Are a Trillion-Dollar Industry: Now Is the Time to Buy Advanced Micro Devices,https://www.fool.com/investing/2023/01/02/semiconductors-are-a-trillion-dollar-industry-now/,INTC,Motley Fool,This chip company suffered from a collapsing PC market in 2022 but should benefit from faster-growing and more profitable segments going forward.,"Earnings,Financial Markets,Manufacturing"
,2023-01-02 09:23:15,"5G Infrastructure Market Size Worth $48.66 Billion, Globally, by 2028 - Growing Adoption of IoT | Exclusive Report by The Insight Partners",https://www.benzinga.com/pressreleases/23/01/g30249414/5g-infrastructure-market-size-worth-48-66-billion-globally-by-2028-growing-adoption-of-iot-exclusi,INTC,Benzinga,"New York , Jan. 02, 2023 ( GLOBE NEWSWIRE ) -- According to The Insight Partners.","Technology,Financial Markets,Manufacturing"
,2023-01-02 09:34:20,"Digital Signage Market Revenue to Cross $36+ Billion, Globally by 2028 - Technological Advancements in Displays | Comprehensive Report by The Insight Partners",https://www.benzinga.com/pressreleases/23/01/g30250249/digital-signage-market-revenue-to-cross-36-billion-globally-by-2028-technological-advancements-in-,INTC,Benzinga,"New York, Jan. 02, 2023 ( GLOBE NEWSWIRE ) -- The Insight Partners has added a new report titled on ""Digital Signage Market Size, Share, Growth, Trends and Global Forecast to 2028 - COVID-19 Impact and Global Analysis by Component ( Hardware, Software, Service ) , Display Type ( LED, LCD, OLED, ...","Technology,Financial Markets,Manufacturing"
,2023-01-02 11:07:29,AMD Will Hold 1 Key Advantage Over Intel for Much of 2023,https://www.fool.com/investing/2023/01/02/amd-will-hold-1-key-advantage-over-intel-for-much/,INTC,Motley Fool,AMD is sitting pretty in the server CPU market.,Manufacturing
,2023-01-02 11:15:00,Warren Buffett Bought This Chip Giant in 2022. Should You Do the Same in 2023?,https://www.fool.com/investing/2023/01/02/warren-buffett-bought-this-chip-giant-in-2022-shou/,INTC,Motley Fool,The Oracle of Omaha has quickly made this semiconductor stock his 10th largest position.,"Financial Markets,Manufacturing,Earnings,Technology,Finance"
,2023-01-02 11:30:00,Better Semiconductor Stock: TSMC vs. Intel,https://www.fool.com/investing/2023/01/02/better-semiconductor-stock-tsmc-vs-intel/,INTC,Motley Fool,Which blue-chip semiconductor giant is the better turnaround play?,"Financial Markets,Manufacturing,Earnings,Technology"
,2023-01-02 13:15:00,"1 Green Flag for ASML Holding Stock in 2023, and 1 Red Flag",https://www.fool.com/investing/2023/01/02/1-green-flag-for-asml-stock-in-2023-and-1-red-flag/,INTC,Motley Fool,"The chipmaking-equipment company offers a compelling business model for investors, but is now the time to buy?","Economy - Fiscal,Financial Markets,Manufacturing,Earnings,Technology"
,2023-01-03 21:56:00,CES 2023: A new 'metaverse' headset gets early buzz as tech industry looks to change the subject,https://www.marketwatch.com/story/ces-2023-a-new-metaverse-headset-gets-early-buzz-as-tech-industry-looks-to-change-the-subject-11672800962,INTC,MarketWatch,"'It's time for tech to get up and make a statement,' says Consumer Technology Association CEO Gary Shapiro.","Energy & Transportation,Technology,Manufacturing"
,2023-01-04 05:00:00,"With Its Stock Near a 52-Week Low, Is Intel a Buy?",https://www.fool.com/investing/2023/01/04/with-its-stock-near-a-52-week-low-is-intel-a-buy/,INTC,Motley Fool,Intel is looking to regain its mojo by the decade's end.,"Earnings,Financial Markets,Manufacturing"
,2023-01-04 05:21:00,5 Dow Stocks That Make for No-Brainer Buys in 2023,https://www.fool.com/investing/2023/01/04/5-dow-stocks-that-make-for-no-brainer-buys-in-2023/,INTC,Motley Fool,"Among the Dow Jones Industrial Average's 30 components, there are five incredible deals just begging to be bought in the new year.","Economy - Monetary,Life Sciences,Retail & Wholesale,Financial Markets,Manufacturing,Earnings"
,2023-01-04 06:00:00,Intel Unveils New Processors: Is It a Game-Changer for Intel Stock?,https://www.fool.com/investing/2023/01/04/intel-unveils-new-processors-is-it-a-game-changer/,INTC,Motley Fool,"Intel recently announced new consumer solutions, but is it happening at the wrong time?",Manufacturing
,2023-01-04 08:10:00,Intel Follows Through on CPU Price Increase,https://www.fool.com/investing/2023/01/04/intel-follows-through-on-cpu-price-increase/,INTC,Motley Fool,The company is raising prices in the toughest PC market in years.,"Economy - Monetary,Manufacturing"
,2023-01-04 10:15:00,What the Latest Updates Mean for Intel and Nvidia Investors,https://www.fool.com/investing/2023/01/04/what-the-latest-updates-mean-for-intel-and-nvidia/,INTC,Motley Fool,Both companies made some exciting announcements.,"Financial Markets,Manufacturing"
,2023-01-04 11:00:00,Here are the chip companies that should benefit the most from the government's massive incentives,https://www.marketwatch.com/story/here-are-the-chip-companies-that-should-benefit-the-most-from-the-governments-massive-incentives-11672848035,INTC,MarketWatch,The Chips and Science Act aims to build greater resiliency and lower dependence on China.,"Technology,Financial Markets,Manufacturing"
,2023-01-04 12:59:15,"Why Intel, Qualcomm, and TSMC Stocks Popped Today",https://www.fool.com/investing/2023/01/04/why-intel-qualcomm-and-tsmc-stocks-popped-today/,INTC,Motley Fool,Low P/E ratios and strong long-term growth prospects may make two of these chip stocks good buys.,"Earnings,Manufacturing"
,2023-01-05 08:36:57,"Gesture Recognition Market Size to Hit $51.48 Billion, Globally, by 2028 with 22.3% CAGR - Growth Report by The Insight Partners",https://www.benzinga.com/pressreleases/23/01/g30293066/gesture-recognition-market-size-to-hit-51-48-billion-globally-by-2028-with-22-3-cagr-growth-report,INTC,Benzinga,"New York, Jan. 05, 2023 ( GLOBE NEWSWIRE ) -- The Insight Partners published latest research study on ""Gesture Recognition Market Size, Share, Growth, Trends and Global Forecast to 2028 - COVID-19 Impact and Global Analysis by Technology ( Touch-Based Gesture Recognition and Touchless Gesture ...","Energy & Transportation,Technology,Manufacturing"
,2023-01-05 09:00:12,Intel Corporation  ( INTC )  is Attracting Investor Attention: Here is What You Should Know,https://www.zacks.com/stock/news/2035622/intel-corporation-intc-is-attracting-investor-attention-here-is-what-you-should-know,INTC,Zacks Commentary,"Intel (INTC) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.","Earnings,Financial Markets,Manufacturing"
,2023-01-05 09:46:00,My Top 3 Dividend Stocks to Buy for 2023!,https://www.fool.com/investing/2023/01/05/my-top-3-dividend-stocks-to-buy-for-2023/,INTC,Motley Fool,Investing in these stocks could generate passive income and capital appreciation.,"Retail & Wholesale,Financial Markets,Manufacturing,Technology"
,2023-01-05 10:47:00,Advanced Micro Devices  ( AMD )  Unveils Products to Boost Prospects,https://www.zacks.com/stock/news/2035757/advanced-micro-devices-amd-unveils-products-to-boost-prospects,INTC,Zacks Commentary,AMD launches new gaming processors to boost growth from the high-performance business segment.,"Economy - Monetary,Technology,Manufacturing"
,2023-01-05 10:47:00,Here's What Chipmakers Have In Mind For The Tech World In 2023,https://www.investors.com/news/technology/ces-2023-chipmakers-tout-latest-processors-at-tech-show/,INTC,Investors Business Daily,CES 2023: Chipmakers Tout Latest Processors At Tech Show ... Investor's Business Daily ...,"Life Sciences,Technology,Manufacturing"
,2023-01-31 20:26:00,"Earnings Roundup: Tesla, Intel, Chevron, and More",https://www.fool.com/investing/2023/01/31/earnings-roundup-tesla-intel-chevron-and-more/,INTC,Motley Fool,"Plus, Corrado Russo, head of global securities at Hazelview Investments, shares some insight for real estate investors.","Life Sciences,Energy & Transportation,Technology,Economy - Monetary,IPO,Retail & Wholesale,Financial Markets,Manufacturing,Earnings"
,2023-01-31 21:06:52,SK Hynix posts record US$1.4 billion loss amid chip market slump,https://www.scmp.com/tech/big-tech/article/3208656/apple-memory-chip-supplier-sk-hynix-posts-record-us14-billion-loss-amid-chip-market-slump,INTC,South China Morning Post,The world's No 2 DRAM maker is cutting output and capex as it awaits a recovery in the second half of the year.,"Financial Markets,Manufacturing,Earnings,Technology"
