news_id,source_ticker,time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
,NFLX,2022-12-31 20:57:25,SNEJF,0.124164,0.200336,Somewhat-Bullish
,NFLX,2022-12-31 20:57:25,NFLX,0.062271,-0.027487,Neutral
,NFLX,2022-12-31 23:55:02,NTDOF,0.042571,0.0,Neutral
,NFLX,2022-12-31 23:55:02,WBD,0.042571,0.052528,Neutral
,NFLX,2022-12-31 23:55:02,NFLX,0.042571,0.127389,Neutral
,NFLX,2023-01-01 00:00:00,META,0.154455,0.107128,Neutral
,NFLX,2023-01-01 00:00:00,GOOG,0.077593,0.03438,Neutral
,NFLX,2023-01-01 00:00:00,NFLX,0.038843,0.062818,Neutral
,NFLX,2023-01-01 03:34:04,SPOT,0.046907,0.0,Neutral
,NFLX,2023-01-01 03:34:04,CVS,0.046907,0.088802,Neutral
,NFLX,2023-01-01 03:34:04,NFLX,0.046907,0.0,Neutral
,NFLX,2023-01-01 05:00:00,HRDI,0.053153,0.086058,Neutral
,NFLX,2023-01-01 05:00:00,NFLX,0.053153,0.136022,Neutral
,NFLX,2023-01-01 05:00:00,HRDI,0.053749,0.086135,Neutral
,NFLX,2023-01-01 05:00:00,NFLX,0.053749,0.136037,Neutral
,NFLX,2023-01-01 05:13:00,AAPL,0.277118,0.187644,Somewhat-Bullish
,NFLX,2023-01-01 05:13:00,PARA,0.277118,0.222256,Somewhat-Bullish
,NFLX,2023-01-01 05:13:00,NFLX,0.05654,0.067098,Neutral
,NFLX,2023-01-01 05:13:00,BRK-A,0.112797,0.138191,Neutral
,NFLX,2023-01-01 05:30:00,NFLX,0.436009,0.357976,Bullish
,NFLX,2023-01-01 05:30:00,META,0.751437,0.466083,Bullish
,NFLX,2023-01-01 05:30:00,GOOG,0.751437,0.466083,Bullish
,NFLX,2023-01-01 05:30:00,AAPL,0.436009,0.357976,Bullish
,NFLX,2023-01-01 05:45:00,BRK-A,0.042915,0.022867,Neutral
,NFLX,2023-01-01 05:45:00,BIPC,0.128249,0.13821,Neutral
,NFLX,2023-01-01 05:45:00,STT,0.021465,0.042828,Neutral
,NFLX,2023-01-01 05:45:00,NFLX,0.313484,0.217653,Somewhat-Bullish
,NFLX,2023-01-01 05:45:00,MDGL,0.042915,0.0416,Neutral
,NFLX,2023-01-01 08:01:00,NFLX,0.050359,0.158271,Somewhat-Bullish
,NFLX,2023-01-01 08:07:00,NFLX,0.033942,-0.053552,Neutral
,NFLX,2023-01-01 08:07:00,CRYPTO:ETH,0.16849,0.200628,Somewhat-Bullish
,NFLX,2023-01-01 08:07:00,CRYPTO:BTC,0.672283,0.161882,Somewhat-Bullish
,NFLX,2023-01-01 08:07:00,TSLA,0.033942,-0.053552,Neutral
,NFLX,2023-01-01 08:07:00,GOOG,0.033942,-0.053552,Neutral
,NFLX,2023-01-01 08:07:00,MSFT,0.033942,-0.053552,Neutral
,NFLX,2023-01-01 08:24:46,NFLX,0.073773,0.095767,Neutral
,NFLX,2023-01-01 08:24:46,GLYYY,0.146916,-0.090102,Neutral
,NFLX,2023-01-01 08:24:46,FOREX:VND,0.691568,-0.394569,Bearish
,NFLX,2023-01-01 10:00:00,GOOG,0.086556,0.242501,Somewhat-Bullish
,NFLX,2023-01-01 10:00:00,NFLX,0.086556,0.242501,Somewhat-Bullish
,NFLX,2023-01-01 10:00:00,MSFT,0.172097,0.172675,Somewhat-Bullish
,NFLX,2023-01-01 10:00:00,APE,0.086556,0.105866,Neutral
,NFLX,2023-01-01 11:21:44,META,0.055751,0.251992,Somewhat-Bullish
,NFLX,2023-01-01 11:21:44,GOOG,0.055751,0.251992,Somewhat-Bullish
,NFLX,2023-01-01 11:21:44,NFLX,0.055751,0.002007,Neutral
,NFLX,2023-01-01 14:15:55,GOOG,0.339356,0.176825,Somewhat-Bullish
,NFLX,2023-01-01 14:15:55,NYT,0.116348,0.148097,Neutral
,NFLX,2023-01-01 14:15:55,NFLX,0.285526,-0.038757,Neutral
,NFLX,2023-01-01 18:00:00,NFLX,0.16317,0.086267,Neutral
,NFLX,2023-01-02 01:33:06,MSFT,0.029914,-0.152277,Somewhat-Bearish
,NFLX,2023-01-02 01:33:06,NFLX,0.029914,-0.152277,Somewhat-Bearish
,NFLX,2023-01-02 01:48:00,NFLX,0.079392,0.112876,Neutral
,NFLX,2023-01-02 05:55:49,GOOG,0.011491,0.110784,Neutral
,NFLX,2023-01-02 05:55:49,WBD,0.125878,0.022062,Neutral
,NFLX,2023-01-02 05:55:49,NFLX,0.057407,0.004009,Neutral
,NFLX,2023-01-02 07:00:00,ABNB,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,MMM,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,NKE,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,PYPL,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,TGT,0.152499,-0.113484,Neutral
,NFLX,2023-01-02 07:00:00,DPZ,0.152499,-0.113484,Neutral
,NFLX,2023-01-02 07:00:00,META,0.436009,-0.246798,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,MSFT,0.152499,-0.113484,Neutral
,NFLX,2023-01-02 07:00:00,ADBE,0.436009,-0.246798,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,MELI,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,MA,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,SBUX,0.436009,-0.246798,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,EBAY,0.436009,-0.246798,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,ETSY,0.152499,-0.113484,Neutral
,NFLX,2023-01-02 07:00:00,V,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,DMPZF,0.152499,-0.113484,Neutral
,NFLX,2023-01-02 07:00:00,NFLX,0.152499,-0.113484,Neutral
,NFLX,2023-01-02 07:00:00,HD,0.152499,-0.113484,Neutral
,NFLX,2023-01-02 07:00:00,CHGG,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,PANW,0.299478,-0.188237,Somewhat-Bearish
,NFLX,2023-01-02 07:00:00,DOCU,0.436009,-0.246798,Somewhat-Bearish
,NFLX,2023-01-02 07:30:41,CCZ,0.068698,-0.056602,Neutral
,NFLX,2023-01-02 07:30:41,TRMNF,0.068698,-0.161993,Somewhat-Bearish
,NFLX,2023-01-02 07:30:41,GOOG,0.136888,0.029502,Neutral
,NFLX,2023-01-02 07:30:41,NFLX,0.068698,0.071394,Neutral
,NFLX,2023-01-02 07:30:41,AMCX,0.068698,0.071394,Neutral
,NFLX,2023-01-02 09:22:30,META,0.089797,0.262633,Somewhat-Bullish
,NFLX,2023-01-02 09:22:30,GOOG,0.089797,0.262633,Somewhat-Bullish
,NFLX,2023-01-02 09:22:30,NFLX,0.264897,-0.016009,Neutral
,NFLX,2023-01-02 09:30:00,MSFT,0.366832,0.535158,Bullish
,NFLX,2023-01-02 09:30:00,NFLX,0.054359,-0.092005,Neutral
,NFLX,2023-01-02 09:30:00,GOOG,0.214937,0.274789,Somewhat-Bullish
,NFLX,2023-01-02 09:59:00,NFLX,0.885652,-0.316673,Somewhat-Bearish
,NFLX,2023-01-02 10:26:43,NFLX,0.175221,0.100955,Neutral
,NFLX,2023-01-02 10:47:20,NFLX,0.870266,0.211094,Somewhat-Bullish
